,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
0,0.0,0.0,0.0,0.0,414879.3412728021,2160618313.7541475,1.3705887168413171,1.1653039869123587
25,0.0,0.4,0.0,0.0,248152.82968629635,2826751968.970077,0.156856586662974,0.1362287432197022
50,0.0,0.8,0.0,0.0,248152.82968629635,2826751968.970077,0.2227318610675472,0.1339841262995484
75,0.0,1.2000000000000002,0.0,0.0,248152.82968629635,2826751968.970077,0.2852275147962235,0.1480698288905271
100,0.0,1.6,0.0,0.0,248152.82968629635,2826751968.970077,0.3543715027736323,0.164753591681555
105,0.0,1.6,0.4,0.0,253322.23703925352,2825000547.9700885,0.4077771996901678,0.1727826377784203
106,0.0,1.6,0.4,-0.4,273505.8984019438,2817714822.206778,0.4157096456516689,0.1743702598178633
107,0.0,1.6,0.4,-0.8,281563.9509221067,2809519463.840641,0.4231342725947147,0.1743719534924903
108,0.0,1.6,0.4,-1.2000000000000002,288742.09640770085,2798671361.882244,0.4306055448011896,0.1738549159821938
109,0.0,1.6,0.4,-1.6,293641.629458746,2786544662.583519,0.4383811060670695,0.1731338814522496
110,0.0,1.6,0.8,0.0,273739.19883074774,2768075756.177046,0.4409283024552239,0.1800321123277131
111,0.0,1.6,0.8,-0.4,301220.06512646406,2694136098.4263053,0.4431100545918593,0.1811415633534534
112,0.0,1.6,0.8,-0.8,315449.1215870101,2643742323.1329784,0.4450860602807855,0.1810072817894417
113,0.0,1.6,0.8,-1.2000000000000002,325643.80346311844,2605903795.6487947,0.4466404030040656,0.1805862541451139
114,0.0,1.6,0.8,-1.6,336495.8748572534,2562782183.308817,0.4479699282706963,0.1799281512493835
